0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Colour Indicator,,CRUISES SCHEDULE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Colour Indicator,,PRIVATE CHARTER SAILING KOMODO,,,,,,,,,,,,,,,,,,,,,,,,
,,,OPEN TRIP,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Avalaible/Vacant,,2025,,,,,,,,,,,,,,,,,,,,,,,,
,,,Booked,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Hold,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cruises LaMain,,Docking,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,January 2025,,,,,,,,February 2025,,,,,,,,,,,,,,,,,,,,
,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,,,,,,,,,,,,,,
,,,1,2,3,4,5,,,,,,,1,2,,,,,,,,,,,,,,
,6,7,8,9,10,11,12,,3,4,5,6,7,8,Selina,,,,,,,,,,,,,,
,13,14,15,16,17,18,19,,10,11,12,13,14,15,16,,,,,,,,,,,,,,
,20,21,22,WAH,sprt,25,jeje,,17,18,19,20,21,22,23,,,,,,,,,,,,,,
,Ec,28,East crs,30,East crs,,,,24,25,26,27,28,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,March 2025,,,,,,,,April 2025,,,,,,,,,,,,,,,,,,,,
,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,,,,,,,,,,,,,,
,,,,,,1,2,,,ot,2,3,4,5,6,,,,,,,,,,,,,,
,3,4,5,6,7,8,9,,7,8,9,10,11,12,13,,,,,,,,,,,,,,
,10,11,12,13,14,15,16,,14,15,16,17,18,19,bim,,,,,,,,,,,,,,
,17,18,19,20,21,22,23,,21,22,23,24,25,26,27,,,,,,,,,,,,,,
,24,25,26,27,28,29,30,,28,29,30,,,,,,,,,,,,,,,,,,
,ot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May 2025,,,,,,,,June 2025,,,,,,,,,,,,,,,,,,,,
,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,,,,,,,,,,,,,,
,,,,OT,OT,OT,OT,,,,,,,,OT,,,,,,,,,,,,,,
,OT,OT,OT,OT,OT,OT,OT,,OT,OT,OT,OT,OT,OT,OT,,,,,,,,,,,,,,
,OT,OT,Wah,OT,OT,OT,OT,,9,OT,OT,OT,OT,OT,OT,,,,,,,,,,,,,,
,OT,OT,OT,OT,OT,OT,OT,,pink,OT,18,19,OT,OT,OT,,,,,,,,,,,,,,
,OT,27,28,29,30,31,,,OT,OT,OT,OT,27,OT,OT,,,,,,,,,,,,,,
,,,,,,,,,OT,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,July 2025,,,,,,,,August 2025,,,,,,,,,,,,,,,,,,,,
,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,,,,,,,,,,,,,,
,,OT,OT,OT,OT,OT,6,,,,,,OT,OT,3,,,,,,,,,,,,,,
,OT,OT,OT,OT,OT,OT,OT,,OT,OT,OT,7,OT,OT,OT,,,,,,,,,,,,,,
,OT,OT,OT,OT,OT,OT,OT,,OT,OT,OT,14,OT,OT,OT,,,,,,,,,,,,,,
,OT,OT,OT,24,25,OT,OT,,18,OT,20,21,22,23,24,,,,,,,,,,,,,,
,OT,29,30,31,,,,,25,26,OT,28,OT,OT,31,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,September 2025,,,,,,,,October 2025,,,,,,,,,,,,,,,,,,,,
,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,,,,1,2,3,4,5,,,,,,,,,,,,,,
,8,9,10,11,12,13,14,,6,7,8,9,10,11,12,,,,,,,,,,,,,,
,15,16,17,18,19,20,21,,13,14,15,16,17,18,19,,,,,,,,,,,,,,
,22,23,24,25,26,27,28,,20,21,22,23,24,25,26,,,,,,,,,,,,,,
